feature,ks_statistic,p_value
audio_convo_duration_ep_1,0.2504591946846196,7.62283915111912e-79
audio_convo_num_ep_4,0.4797029077065789,7.556265330288954e-298
sleep_end,0.18503079697448985,4.575174777312438e-36
act_walking_ep_2,0.9471757322175732,0.0
act_on foot_ep_3,0.5073781138592875,4.155e-321
act_unknown_ep_1,0.3115631257296083,2.908635932402674e-124
act_running_ep_1,0.3530334728033473,2.870570007091606e-160
loc_visit_num_ep_3,0.6396065206264402,2.47e-321
audio_convo_duration_ep_0,0.33497249838227117,5.3026752936614346e-142
act_running_ep_2,0.7730125523012552,7.26e-322
act_unknown_ep_0,0.243005678881552,3.113724223242264e-75
ema_score,0.45628220910208045,5.3624392467010486e-272
act_unknown_ep_4,0.28530803857693404,5.762146906708959e-104
loc_dist_ep_0,0.23145867213538868,7.4816094617324e-68
loc_dist_ep_4,0.3527899105895637,3.661455944000326e-159
audio_convo_num_ep_2,0.19593511098270622,3.2562640846796715e-48
act_still_ep_0,0.26575328462248377,4.414464278585907e-90
act_running_ep_3,0.8713389121338913,0.0
act_on foot_ep_2,0.47182648529131077,1.0513182980303568e-291
study_id,0.5241756364257646,3.95e-321
unlock_duration_ep_0,0.7344893224302239,1.235e-321
act_on foot_ep_4,0.5601929990485157,3.493e-321
loc_dist_ep_3,0.24236370998129983,2.0067117525993096e-74
audio_convo_duration_ep_2,0.21723296960945399,2.95622180526098e-59
loc_dist_ep_2,0.3417372446145889,3.749255237535617e-149
act_walking_ep_3,0.9921548117154811,0.0
audio_convo_num_ep_3,0.38342116720239,3.4411182124162495e-187
loc_visit_num_ep_1,0.3924049288351402,5.811773059753634e-198
act_on foot_ep_1,0.4132886650410654,1.6316383949613238e-221
loc_visit_num_ep_2,0.6281737122191262,2.62e-321
loc_visit_num_ep_0,0.7571155407951431,9.54e-322
sleep_duration,0.5314345797324898,6.935572373944e-310
act_on foot_ep_0,0.56707857144389,3.404e-321
act_still_ep_3,0.22431948498320425,4.5114568433531646e-64
audio_convo_duration_ep_4,0.34953911226396384,6.999966539508873e-155
act_walking_ep_1,0.6924686192468619,1.784e-321
act_unknown_ep_3,0.1924300165777018,3.7178279318217686e-47
act_running_ep_0,0.952928870292887,0.0
act_still_ep_1,0.5494210671922348,3.626e-321
audio_convo_num_ep_1,0.2658896288858602,6.2050045787366924e-89
act_still_ep_4,0.2968657849531085,1.1492284897317964e-112
loc_dist_ep_1,0.5818137087840717,3.206e-321
sleep_start,0.4739477337759926,2.3954847188264824e-243
audio_convo_duration_ep_3,0.3286104480751598,1.451788377270831e-136
act_walking_ep_4,0.9717573221757322,0.0
act_still_ep_2,0.29880047567066775,3.696777632050585e-114
unlock_duration_ep_3,0.6018565381841161,2.96e-321
act_unknown_ep_2,0.20870229264111598,1.872664992821998e-55
unlock_duration_ep_2,0.6632790143737753,2.164e-321
act_walking_ep_0,0.9968619246861925,0.0
act_running_ep_4,0.7798117154811716,6.37e-322
loc_visit_num_ep_4,0.6763102941634499,2e-321
audio_convo_num_ep_0,0.45824894245727843,1.1274840855533408e-270
unlock_duration_ep_4,0.6664379994667112,2.124e-321
unlock_duration_ep_1,0.6312877671715753,2.58e-321
